sentence,negativity,neutrality,positivity,compound
Do also note that I have attached a copy of my IC for you ,0.0,1.0,0.0,0.0
I will wait to read back from you ,0.0,1.0,0.0,0.0
Take good care and have a great time over there ,0.0,0.37,0.63,0.8807
Regards Yeo ,0.0,1.0,0.0,0.0
I received a call from +6568252423 and it was not an automated both ,0.0,1.0,0.0,0.0
it was a Chinese man who claimed to be from des bank and he even knew my full name ,0.0,1.0,0.0,0.0
i hung up immediately after ,0.0,1.0,0.0,0.0
Incoming call from +65 8486 4021 @ 7/12/2020 4121hrs. ,0.0,1.0,0.0,0.0
mentioned from des BANK and i have a document with them ,0.0,1.0,0.0,0.0
asked to press number 3 to connect ,0.0,0.794,0.206,0.0772
upon connected one pro male mentioned that he is from des bank asked is there anything that he can help ,0.0,0.876,0.124,0.4019
after hearing his tone I hung up ,0.0,1.0,0.0,0.0
"The phone call starts with an automated both a female voice by the name of ""Olivia"". ",0.0,1.0,0.0,0.0
stating that I have won some Bluetooth speaker/headphones sorry I'm not so sure at this point I hung up right after i realized its a both ) ,0.143,0.718,0.14,0.2327
I received a call today ,0.0,1.0,0.0,0.0
The phone call was not voice recorded it was a chinese man speaking to me ,0.0,1.0,0.0,0.0
I have no idea what he was talking about and I think he has been emphasizing that I have violate some stuff which I have no clue about ,0.266,0.734,0.0,-0.765
"Right after I said : ""hehehe It was very funny"". ",0.0,1.0,0.0,0.0
He immediately hung up the call ,0.0,1.0,0.0,0.0
I was encouraged by my cousin to download a dating apply ,0.0,0.762,0.238,0.3612
It is an app for meeting soul mates something like dating via personality testing on est deck ,0.0,0.865,0.135,0.3612
Shortly after downloading the app there are males users who will talk to you via message asking how are you etc All spoke in mandarin ,0.0,1.0,0.0,0.0
then this user by name of kong bai 空白 as alias name talk to me for a while like 1 day and asked for whatsapp ,0.0,0.898,0.102,0.3612
He claimed that he is staying at France paris now he formerly from hang zhou ,0.0,1.0,0.0,0.0
Only child ,0.0,1.0,0.0,0.0
Have 2 companies doing investment ,0.0,1.0,0.0,0.0
We chatted for and day and asked for pictures ,0.0,1.0,0.0,0.0
He also sent a handsome photo of himself ,0.0,0.652,0.348,0.4939
Every day at 7pm and 12am will mug good morning and go afternoon and go night text and keep calling me 宝贝。 He mentioned that he was single and wanted to find a of and started wooing me ,0.0,0.925,0.075,0.4404
ord day he shared his investment scheme with me and profit account on bitcoin (btc) investments and say it is nice that during couid period they can earn money from home ,0.0,0.776,0.224,0.7964
"Enquired why his whatsapp number begins with +856xxxxxxxxx, when checked online it is laws country number ",0.0,0.843,0.157,0.1531
He answered he went on holiday at Thailand and so now he uses this number though he is in frances ,0.0,0.815,0.185,0.4723
Asked him can take picture of scenery of frances he said he don't take picture ,0.0,1.0,0.0,0.0
Then ith day he enquired about your living details like family how much you earn name if you want to change your lifestyle and earn more money together and bring up investment again despite telling him not interested and he will said you are not young anymore are you going to waste your life earning low salary why not do business with him so that when dating it would be a shared account and as couple pay for holiday expenses ,0.097,0.803,0.101,0.088
So ladies beware ,0.0,1.0,0.0,0.0
The pics used seems too good to be true ,0.0,0.551,0.449,0.6908
And confesses his love only within 3 days and keep wanting you to also say sweet nothings back to him and hinting to marry you ,0.0,0.753,0.247,0.802
I deleted the that dating app and now unable to reinstall it ,0.0,1.0,0.0,0.0
Beware ladies ,0.0,1.0,0.0,0.0
Received call from +6582159781. ,0.0,1.0,0.0,0.0
"Heard automated voice saying something like ""hello..this is des bank ",0.0,0.783,0.217,0.3612
"We tried tried many times to call you...."" and I just hung up ",0.0,1.0,0.0,0.0
"I received a call from this NUMBER(91523583) claiming to be from des this morning at 10:52am, 05 December 2020. ",0.0,1.0,0.0,0.0
The call WAS an automated message ,0.0,1.0,0.0,0.0
It goes something like this hello ,0.0,0.667,0.333,0.3612
This is des bank ,0.0,1.0,0.0,0.0
We have called you multiple times but you did not answer ,0.0,1.0,0.0,0.0
Please press 3 to speak with our customer service officer ,0.0,0.777,0.223,0.3182
The automated message came in English and mandarin ,0.0,1.0,0.0,0.0
To my knowledge banks don't call you especially not one with an automated message ,0.0,1.0,0.0,0.0
Please be wary of phishing calls text messages websites and emails claiming to be from banks ,0.0,0.867,0.133,0.3182
Automated voice message saying they have called me several times but unable to reach me ,0.0,0.924,0.076,0.0387
"request me to press ""3"". ",0.0,1.0,0.0,0.0
"Then i press ""3"" and was referred to a male voice (human) speaking in Mandarin with heavy Chinese accent asking me what happened ",0.0,1.0,0.0,0.0
I told him you should know ,0.0,1.0,0.0,0.0
Then he proceeded to ask me if he could have my basic information so that he could retrieve from the computer system ,0.0,1.0,0.0,0.0
hence I cut the phone call ,0.344,0.656,0.0,-0.2732
I received a robocall informing me that des tried calling me a few times but I did not response ,0.0,1.0,0.0,0.0
And to press 3 to speak to the person in charge ,0.0,1.0,0.0,0.0
Shortly after the message was changed to mandarin ,0.0,1.0,0.0,0.0
The whole situation seemed really off so I hung up ,0.0,1.0,0.0,0.0
I received a call from a person claimed from ima singapore ,0.0,1.0,0.0,0.0
He said they were informed by shanghai china that one Chinese number registered under my name was sending wrong information about covid-19 in china ,0.117,0.833,0.049,-0.4215
And they need to stop my phone number in Singapore for a preventative action ,0.152,0.759,0.09,-0.2263
They asked about my eric number but I declined ,0.0,0.859,0.141,0.0387
When i tried to ask them to investigate further because I didn't do anything they hung up ,0.0,1.0,0.0,0.0
The name is 陈泳洲. ,0.0,1.0,0.0,0.0
We linked up on tinder in October 2020. thereafter we moved on to WhatsApp chat ,0.0,1.0,0.0,0.0
After 3 weeks he introduced me to a way of investing with this broker do markets led and offered to guide me on how to do it ,0.0,1.0,0.0,0.0
I decided to just give it a try to see how it work and set up an account with them ,0.0,1.0,0.0,0.0
all seemed real He asked me to download an app from an external link and create an account ,0.0,0.89,0.11,0.2732
He also asked me to use finance APP to buy cryptocurrency to transfer to THE account ,0.0,1.0,0.0,0.0
He TOLD me TO LOOK FOR the customer service number for quicker response ,0.0,0.902,0.098,0.0772
It was actually fore trading (xau/usd) with cryptocurrency ,0.0,1.0,0.0,0.0
For my firST 3 trades I did earn money and able to withdraw my whole amount THROUGH THE CUSTOMER service ,0.0,1.0,0.0,0.0
On US Presidential widen win the customer service intro the top-up activity to me which include cash ,0.0,0.808,0.192,0.5859
He also lured me to join in the activity by showing me he has joined as well ,0.0,0.777,0.223,0.5106
After joining the activity I could not take out the money ,0.0,1.0,0.0,0.0
Customer service said I need to top up to the amount in order to withdraw ,0.0,0.878,0.122,0.2023
However after I hit the amount there were still trades i need to fulfill ,0.0,0.791,0.209,0.4404
he lured me to believe that this is a proper channel by channelling funds into the account ,0.0,1.0,0.0,0.0
I realised I was scammed when i refused to add more funds and he began his appearing and disappearing act ,0.121,0.879,0.0,-0.296
when he disappeared it meant that I was being blocked ,0.364,0.636,0.0,-0.4588
Received a robocall. ,0.0,1.0,0.0,0.0
Asked me to press 9 and i did and call was transferred to a guy who informed me that I was involved in moneylaundering. ,0.0,1.0,0.0,0.0
Crime was related to Joey tan lai peng . ,0.333,0.667,0.0,-0.5423
Told me there's a court hearing and I would need to attend ,0.0,1.0,0.0,0.0
Even provided me with a case number and then connected me to a supposed police officer at sip which according to him is Singapore international police ,0.0,0.947,0.053,0.0772
Another guy picked up and said the same things ,0.0,1.0,0.0,0.0
told him i should receive some official email or letter instead of me just repeating my IC number and details ,0.0,0.933,0.067,0.0772
"i asked him who he was , he said his name was Eric Wong and then the line got cut off ",0.104,0.896,0.0,-0.2732
Googled and I found that other people have been scammed like this as well ,0.0,0.705,0.295,0.5574
"anyway , just sharing my experience ",0.0,0.588,0.412,0.4215
Please hang up such robocalls! ,0.0,0.607,0.393,0.3802
我在网上找到了借贷公司，我在他们的网站上填写了在线表格。过了不久他称自己是在Credit 8?打来的。他们与我联系讨论贷款。但是，我发现他们具有很强的马来西亚口音。 我说我要借2万，借贷人就说帮我安排，资料都发了过去给他，过了不久那人就打回来说我可以贷款，但是我需要先付10％的压低钱，他说这是MAS规定的，我听了有一点点奇怪但是又说要他弄好合约给我看，看完了我把合约签了发回去，于是我就准备过账给他。等了几个小时他发户口号码来了，我就过账给他，但是很幸运的就是一直过不到，系统提示户口无效。我感到不对劲了，就直接GOOGLE找，刚好找到这个网站，点了一个新案例是跟我同一间公司的。我就知道受骗了。 在这里提醒大家小心这类型的欺骗案。 ,0.0,1.0,0.0,0.0
"The name is 叶明哲 Number is +852 5728 5981He messaged me on Instagram on 28 bug 2020, thereafter we moved on to WhatsApp chat ",0.0,0.947,0.053,0.0772
His IG username is Mad982020. ,0.0,1.0,0.0,0.0
After a few days he introduced me to a way of investing with high return (90%) and offered to guide me on how to do it ,0.0,1.0,0.0,0.0
I decided to just give it a try to see how it work ,0.0,1.0,0.0,0.0
He asked me to download an app from an external link and create an account ,0.0,0.87,0.13,0.2732
He also asked me to use Huobi Global to buy cryptocurrency to transfer to bus app ,0.0,1.0,0.0,0.0
He gave me the customer service number for quicker response ,0.0,0.874,0.126,0.0772
It was actually option trading with cryptocurrency ,0.0,1.0,0.0,0.0
For my first trade I did earn money and able to withdraw my whole amount from the app ,0.0,1.0,0.0,0.0
He encouraged me to continue invest into the bus platform ,0.0,0.783,0.217,0.3612
"On my third topup, the customer service intro the top-up activity to me which include free gifts or cash ",0.0,0.845,0.155,0.5106
He also lured me to join in the activity by offering to help share half of the topup amount ,0.0,0.693,0.307,0.7269
After joining the activity I could not take out the money ,0.0,1.0,0.0,0.0
Customer service said I need to top up to the amount in order to withdraw ,0.0,0.878,0.122,0.2023
However after I hit the amount there were still various “taxes” to pay ,0.113,0.887,0.0,-0.1027
I realised I was scammed when he blocked me after that ,0.208,0.792,0.0,-0.2732
After this I also realised that his IG photos were stolen from a Weibo user ,0.211,0.789,0.0,-0.4939
Picked up a call from +6591976588?claiming they are des bank and that they have been trying to reach me ,0.0,0.939,0.061,0.0258
It was first in english then it went on to mandarin ,0.0,1.0,0.0,0.0
thereafter I hung up immediately ,0.0,1.0,0.0,0.0
Gotten a random call today and when I answered they mentioned that des tried to call me multiple times And to press 3. ,0.0,1.0,0.0,0.0
When I did i started hearing some robocall message in Mandarin and I immediately put down the phone ,0.0,1.0,0.0,0.0
Caller +6586838064 called ON 30 not 2020@ 1612hrs. ,0.0,1.0,0.0,0.0
"Its an automated robo call who claimed that des tried to call you many times but couldn't reach there was no such call , please press the button 3 to get back to them ",0.109,0.809,0.082,0.0101
then they spoke in Mandarin and hung up ,0.0,1.0,0.0,0.0
"This wasn't the first time that I received such spam calls There were multiple calls using different numbers who claimed they were health OFFICALS"" and pressed the number 3"" to reply too ",0.076,0.884,0.04,-0.296
Please beware ,0.0,0.303,0.697,0.3182
Been receiving impersonating phone call claiming their from des bank ,0.0,1.0,0.0,0.0
+65- 8102109?. ,0.0,1.0,0.0,0.0
Please do not disclose any info ,0.0,0.685,0.315,0.3182
Received a call with a female robocall message saying that they tried calling me but never got response ,0.0,1.0,0.0,0.0
Message informed me that there is an important document that needed my attention and the messages repeated in mandarin ,0.0,0.909,0.091,0.2023
I hung up before the message ended ,0.0,1.0,0.0,0.0
I met this Taiwanese guy through online social app in November 2020 thereafter we moved to Line app and chatted for About a week ,0.0,1.0,0.0,0.0
He claimed to work in Singapore as an it personnel ,0.0,1.0,0.0,0.0
We chaTteD for a few days Then he started introduced me a way which he earns extra income through his wisely planning and loophole of the website ,0.0,0.896,0.104,0.4215
I rejected him ,0.767,0.233,0.0,-0.5106
He then asked me to help his cousins to sign up for a social networking platform account coffee meets bagel). ,0.0,0.87,0.13,0.4019
I didn't Think much and setup the account for him ,0.0,1.0,0.0,0.0
The following day he Asked me to earn the extra income with him again ,0.0,1.0,0.0,0.0
"He asked for $100, i rejected ",0.452,0.548,0.0,-0.5106
Then he said he will pay this $100 for me Where i just need to create the account ,0.076,0.811,0.114,0.1779
He threaten me with commit suicide if i do not create the account ,0.466,0.419,0.115,-0.7727
Don't sign up for anything just based on someone's recommendations ,0.0,1.0,0.0,0.0
Beware and do your research ,0.0,1.0,0.0,0.0
His name in tinder is payne 林文龙. ,0.0,1.0,0.0,0.0
Called around 3:25pm on 28 November 2020. ,0.0,1.0,0.0,0.0
Sounds like a robot ,0.0,0.444,0.556,0.3612
Saying she is calling from des bank ,0.0,1.0,0.0,0.0
"Just received a call on my second sim number and the caller was a automated voice saying my number will lose service if I do not press ""5"" and the message repeated in Mandarin I did not press 5 and let the message play ",0.063,0.82,0.117,0.0772
it played one more time and the call ended i don't use my second sim except for work personal sim number i use to provide to vendors instead of using my other personal sim ,0.0,0.89,0.11,0.4019
Received a call from +6596446811 with a voice prompt saying its from the Supreme court ,0.0,0.769,0.231,0.5574
"It instructed me to press ""9"" to proceed and I was directed to a lady speaking that she's from the supreme court ",0.0,0.841,0.159,0.5574
She then asked me to provide my full name so she could check the records ,0.0,1.0,0.0,0.0
Knew it was a scam and hung up ,0.381,0.619,0.0,-0.5719
"Received automated call from +6585414307 on 26 not 2020, 11.13Am. ",0.0,1.0,0.0,0.0
When picked up an automated message in English saying this is from des bank we have called you many time but you have not responded ,0.0,1.0,0.0,0.0
Please press 3 to speak to an officer ,0.0,0.723,0.277,0.3182
I just hung up ,0.0,1.0,0.0,0.0
"Received automated call from +6581010043 on 25 not 2020, 2.09pm. ",0.0,1.0,0.0,0.0
When picked up an automated message in English and then Mandarin saying this is from des bank we have called you many time but you have not responded ,0.0,1.0,0.0,0.0
Please press 3 to speak to an officer ,0.0,0.723,0.277,0.3182
I just hung up ,0.0,1.0,0.0,0.0
i just wanted to share with all the ladies out there who are on online dating in order to stop scam and stop losing your money as well as your emotional wellbeing ,0.264,0.591,0.145,-0.7003
I was matched with this guy in cab coffee meets bagel). ,0.0,1.0,0.0,0.0
he asked to move chat to whatsapp but i asked for telegram instead so he won't know my number ,0.073,0.927,0.0,-0.0857
he claimed to be a korean lives in florida ,0.0,1.0,0.0,0.0
his father died when he was young and mother is living in busan with relatives ,0.205,0.795,0.0,-0.5574
he would text every morning and evening ,0.0,1.0,0.0,0.0
"he is gemologist, who deals with different kind of precious stone and he said his life is comfortable ",0.0,0.705,0.295,0.7722
there are already a lot of red flags here ,0.0,1.0,0.0,0.0
i asked him why he put his location as singapore when he is physically not here he said because he likes singaporean. ,0.0,0.877,0.123,0.4215
i confronted him why would he dates someone thousands miles away and being so concern about me always asked about my wellbeing in chat when we haven't even met in person ,0.058,0.942,0.0,-0.2023
he said distance is not a problem we can know each other through chat as you will never know where your soulmate is ,0.0,0.765,0.235,0.7317
i already knew he is a scammers i just want to waste his time and teach him a lesson ,0.164,0.76,0.076,-0.3612
"nothing is lost here and i also checked in cmb, he has been flagged by cab and no longer there but this kind of people can just create more and more fake profiles online ",0.166,0.73,0.104,-0.5352
please ladies stop chatting with someone you know from online and only wants to date virtually you should only date someone who can meet you in person ,0.075,0.847,0.078,0.0258
"Received call that said it will disconnect my Line and Told me to press ""9"". ",0.0,1.0,0.0,0.0
"After i pressed 9, a man spoke in Mandarin for a few seconds then it got auto disconnected ",0.0,1.0,0.0,0.0
immediately i called singtel to report this matter ,0.0,0.842,0.158,0.0323
Singtel said the call was not from them no such thing as calling customers to inform them of a line termination ,0.0,0.91,0.09,0.2235
"Both my husband and me received calls from an ""Andy"" pretending to call from Singtel and informing us that it was about our internet connection ",0.0,0.945,0.055,0.1027
My husband cut the call immediately ,0.296,0.704,0.0,-0.2732
when i received the call i proceeded to ask him what it was about our internet connection and he said he would need our account details to explain further ,0.0,1.0,0.0,0.0
i responded by saying that i would call singtel customer care myself and speak about this and he disconnected ,0.0,0.833,0.167,0.4939
The lustful me got tempted by a escort post on locanto and I contacted the escorted for a 100 dollar per hour service ,0.0,1.0,0.0,0.0
However when I reach the meeting place the escort want the payment to be made in razor gold gift card being gullible I bought and send over the photo of the gift card and after awhile when the code has been verified the escort told me that his friend will call me to verify my identity to ensure that I'm not with the cops and I agreed so after a few minutes a man called me and told me about how the escort got hurt recently by other customer and say that need a 1000 dollar deposit and at this point of time I found it was fishy and wanted to stop however the person proceed with threat to hunt me and my family down and send me video of victim that they hunt down and I only realize that many other people received the same video like I do so being afraid I agreed and send them 1000 dollar worth of razor gift card and after that another man call me to ask for my ID as a verification that I'm not with the cops I was reluctant to give but was frightened at the same time so again I foolishly send my ID over and soon after I search for solution online and found scam alert and realized I'm not the only one and was able to calm down and just ignore their threats I only just hope is just a hoax and my family will be safe ,0.122,0.752,0.126,-0.5814
I posted in gumtree to sell my ,0.0,1.0,0.0,0.0
iphone see ,0.0,1.0,0.0,0.0
Scammer contacted ME at 4pm said he want to buy it for his daughter ,0.0,0.909,0.091,0.0772
He is in USA but daughter is in malaysian ,0.0,1.0,0.0,0.0
He will arrange for fedex courier to pickup the item ,0.0,1.0,0.0,0.0
He insisted the Fedex courier must pick up the item By 7pm as that's the last slot ,0.0,1.0,0.0,0.0
Indeed a real Fedex guy came to collect the phone ,0.0,1.0,0.0,0.0
He said he will send proof of transfer but didn't ,0.0,1.0,0.0,0.0
He also insisted we issue an invoice and attach to the phone to look official else his daughter will suspect ,0.104,0.896,0.0,-0.296
but we didn't ,0.0,1.0,0.0,0.0
After awhile we realised its fishy that he keep rushing to pick up my phone ,0.0,1.0,0.0,0.0
He contacted us at 4pm and arranged for the courier at 6-7pm. ,0.0,1.0,0.0,0.0
Secondly he's in USA but daughter in malaysian ,0.0,1.0,0.0,0.0
So we texted Him to test him said we need the phone back because there are P&amp;C info ,0.0,1.0,0.0,0.0
We will pay for the 2 ways courier ,0.189,0.811,0.0,-0.1027
He refused to ,0.524,0.476,0.0,-0.296
He also hung up our call ,0.0,1.0,0.0,0.0
We didn't receive the buyer money ,0.0,1.0,0.0,0.0
hence we filed a police report ,0.0,1.0,0.0,0.0
Received scam call impersonate as des staff claiming i have received parcel with them ,0.236,0.764,0.0,-0.5719
this is getting annoyed as more and more scam calls in singapore ,0.407,0.593,0.0,-0.7818
Don't entertain such phone calls so just hang up ,0.197,0.803,0.0,-0.2411
Received a call from 9544404? ,0.0,1.0,0.0,0.0
on 22 not 2020) &amp; 89749882 on 23 not 2020 at 6.03pm). ,0.0,1.0,0.0,0.0
When picked up a woman's voice i think it's a both claiming she's calling from des bank and they've been trying to contact me numerous time to no avail ,0.081,0.919,0.0,-0.296
I ended the call ,0.0,1.0,0.0,0.0
A call from 8335816? ,0.0,1.0,0.0,0.0
was received at 11:19 am 23 not 2020. ,0.0,1.0,0.0,0.0
An automated voice message was telling me i have been summoned by the Singapore high court ,0.0,1.0,0.0,0.0
"The robocall told me to press ""9"" for more information at the time i was searching for the number online then the called ended when I called back that number and I asked the call recipient what was the missed call all about ",0.053,0.885,0.062,-0.1531
He replied that he has no clue and immediately hung up on me ,0.155,0.845,0.0,-0.296
It could be that this fellow's number had been spoofed by scammers ,0.0,0.894,0.106,0.0772
I was looking up online to see if there was and similar incidents turns out there were many and ,0.0,1.0,0.0,0.0
so it was a scam call after all ,0.398,0.602,0.0,-0.6077
"Scam call from +65-9591-1324 reporting to be from the "" Ministry of health asking for my information ",0.198,0.802,0.0,-0.5719
Beware of such phone calls and always verify the identity of the caller with the agency concerned.Editor's note Take the following prevention measures to prevent getting scammed:1. ,0.0,0.959,0.041,0.0258
Always call the organisation main hotline to verify the identity of the caller and their request 2. ,0.0,1.0,0.0,0.0
"Since April 2020, a ‘+’ sign prefix will be displayed on phone screens for all international incoming calls ",0.0,1.0,0.0,0.0
Domestic calls will not display the ‘+’ sign prefix ,0.0,1.0,0.0,0.0
Members of the public are advised to exercise greater caution if they are not expecting any overseas calls especially when answering calls showing this prefix ,0.0,0.906,0.094,0.3612
3. ,0.0,1.0,0.0,0.0
Download the ScamShield app at ‎ScamShield on the App Store (apple.com) to reduce the frequency of receiving such spam/scam messages ,0.0,1.0,0.0,0.0
Received a whatsapp message today on 21 not 2020 from dew telephone 84999123 asking for help to send back sums code which was sent to me wrongly via sms. ,0.0,0.909,0.091,0.4019
keep asking for sums code ,0.0,1.0,0.0,0.0
when I tried to call back via phone call no pickup ,0.196,0.804,0.0,-0.296
suspect that they are trying to scam something ,0.496,0.504,0.0,-0.7096
so I stopped and deleted the contact ,0.305,0.695,0.0,-0.2944
Receive call from a bot claiming i have a document pending from des bank ,0.0,1.0,0.0,0.0
press 3 to proceed ,0.0,1.0,0.0,0.0
I proceeded ,0.0,1.0,0.0,0.0
a man with a Chinese accent spoke in Mandarin claiming that I have a credit card transaction in beijing ,0.0,0.843,0.157,0.3818
I denied the transaction and claimed that I didn't have a credit card with DBS. ,0.337,0.663,0.0,-0.6229
Scammer claimed my ID was being misused to open a credit card and asked me to report to Chao Yang police station in china ,0.0,0.894,0.106,0.3818
Scammer requested to reroute the call from his end to Chao Yang police station ,0.0,1.0,0.0,0.0
I ended the call ,0.0,1.0,0.0,0.0
I received a phone message from phone number +6595977104...the voice message Claimed to be from des and have contacted me many times ( which is nonsense because there is a parcel for me for Urgent collection ,0.078,0.833,0.089,-0.1531
I should press “3” to speaK to des Customer Service for assistance ,0.0,1.0,0.0,0.0
I press “3” and was directed to a male mondrian speaking operator.. i Begin to converse with him in Mandarin letting him know why i called ,0.0,1.0,0.0,0.0
I also asked if there is an English speaking colleagues available ( claiming my Mandarin wasn't good). ,0.0,1.0,0.0,0.0
He told me to hang on but never came back ,0.0,1.0,0.0,0.0
I tried to call back on +6595977104 ...The number turn “invalid”. ,0.0,0.874,0.126,0.0772
"Never thought scammer would impersonate NUH hospital it was a prerecorded message in English and then Chinese saying NUH hospital has tried to reach me several times and i should press ""3"". ",0.0,0.963,0.037,0.0258
This is truly a scam call because I called back NUH hospital hotline and they said no one from hospital had tried to call me ,0.205,0.694,0.101,-0.4588
Automated call from +6596949861 - High court stating I have an unpaid SUMMON and to press 9 for more INFORMATION Voice recording is in 2 languages English and Mandarin ,0.0,1.0,0.0,0.0
The scammer called impersonating Singtel. ,0.0,1.0,0.0,0.0
Supposedly my internet connection and router were having issues ,0.0,1.0,0.0,0.0
I immediately found it suspicious that someone from Singtel would call me about that since I'm a viewqwest subscriber ,0.135,0.865,0.0,-0.3612
also the sound quality of his phone line was really bad and the scammer did try to give me a lot of technical details that felt quite bullshit ,0.24,0.76,0.0,-0.8354
I started to laugh smelling the scam and the scammer got pissed asked me if I though it was joke ,0.285,0.505,0.209,-0.4767
I talk him I'm amused and I'm waiting for him to ask me a password or a remote access ,0.0,0.843,0.157,0.4215
then he hang up before I did ,0.0,1.0,0.0,0.0
! ,0.0,0.0,0.0,0.0
Scammer called claiming to be Singtel. ,0.0,1.0,0.0,0.0
He claimed that my wifi has been hacked by 25 people and requested that i use a laptop to help him rectify this issue ,0.106,0.787,0.106,0.0
Called by 91485001. ,0.0,1.0,0.0,0.0
I ignored the number after a voice automated number asked for asked me to press a number to speak with an officer ,0.108,0.708,0.184,-0.1027
It also claimed that I have a high court summon not answered ,0.0,1.0,0.0,0.0
contact by the phone 90752139 today the caller identify they provide online casino ,0.0,1.0,0.0,0.0
and other services ,0.0,1.0,0.0,0.0
I quickly disconnected the call and call them back try to verify the phone can not get through their phone ,0.0,1.0,0.0,0.0
"call again 2 times finally get through (90752139), I told them i miss a call ",0.138,0.862,0.0,-0.1531
they said they provide online casino ,0.0,1.0,0.0,0.0
and i hung up the call ,0.0,1.0,0.0,0.0
Confirmed the phone is valid ,0.0,1.0,0.0,0.0
Please warm others about it ,0.0,0.417,0.583,0.4939
Nothing lost from me ,0.0,0.605,0.395,0.2411
"Impersonating Singtel, be alert and asked what technical issues if your Internet is working just ignore them ",0.127,0.761,0.112,-0.0772
If unsure of your Internet provider call your family members who is aware ,0.143,0.857,0.0,-0.25
You may not be on singtel in the first place ,0.0,1.0,0.0,0.0
also Singtel will not make unsolicited phone calls to their customers to inform of issues regarding their internet connection in the place ,0.0,1.0,0.0,0.0
Received an unknown phone call ,0.0,1.0,0.0,0.0
Recorded message claimed that the CUSTOMER SERVICE FROM des was trying to reach me 3 times and asked me to press 3 to speak to an officer ,0.0,0.956,0.044,0.0258
\ Obviously a scam so I hung up the phone ,0.381,0.619,0.0,-0.5719
"The scammer called me via vibe using the name ""MOM"" Ministry of manpower ",0.0,1.0,0.0,0.0
he said that my bank account was blocked and i will be receiving an sums confirmation ,0.13,0.87,0.0,-0.2732
"when i checked i received an sums from MOM which contains top from ""fwmomcare"". ",0.0,0.859,0.141,0.2023
He asked if i received any text but i said that i did not ,0.0,1.0,0.0,0.0
then he ended the call ,0.0,1.0,0.0,0.0
"Authorities will NOT ask for your OTPs, so never share this information with anyone ",0.143,0.857,0.0,-0.2884
"1) HOW IT happened Received phone call from a mobile number didn't pick up cos i have been receiving quite a few scam call recently from dhl, oh &amp; des all claiming to have important documents to be collected or received ",0.095,0.832,0.074,-0.4364
take note its from a mobile number and with a fake recorded system message to ask you to press 1 or 3 to take to the customer service provider ,0.113,0.839,0.047,-0.4215
2) WHEN IT happened almost every week ,0.0,1.0,0.0,0.0
3) HOW MUCH WAS lost none stay vigilant everyone ,0.353,0.647,0.0,-0.4249
"""Automated"" call received via mobile ",0.0,1.0,0.0,0.0
"Claimed that there is pending document(s) to be collected and to press ""3"" to speak with customer service for assistance ",0.0,1.0,0.0,0.0
The male customer service personnel WHO picked up the call cannot understand basic English and insisted on speaking in mandarin ,0.0,1.0,0.0,0.0
He hung up in frustration after failing to understand what I am saying ,0.39,0.61,0.0,-0.7506
I received a recorded message claiming this is from des bank ,0.0,1.0,0.0,0.0
"we have called you many time but you have not responded!"" ",0.0,1.0,0.0,0.0
The message prompted me to press 3 to speak to the customer service ,0.0,1.0,0.0,0.0
I HANG UP THE calls ,0.0,1.0,0.0,0.0
"I RECEIVED SUCH CALLS many times BUT ALL FROM DIFFERENT numbers 68281640,80606963,90736799,69334309 - these are SPOOFED numbers ",0.0,1.0,0.0,0.0
Don't based on numbers as these numbers are most likely fake ,0.253,0.747,0.0,-0.5233
"The moment you hear robocalls from ""DBS"", hang up ",0.0,1.0,0.0,0.0
Matched with Fang william 37 years old 170cm thou pastor app in Sep 2020. ,0.0,1.0,0.0,0.0
His LINE ID as fang_william. ,0.0,1.0,0.0,0.0
Claimed to be staying in Dallas Texas usa born of Korean and Taiwanese mixed parentage ,0.0,1.0,0.0,0.0
Parents had passed on and with NO siblings ,0.295,0.705,0.0,-0.4466
Had a 4 year old son named billy ,0.0,1.0,0.0,0.0
Wife passed on during childbirth ,0.0,1.0,0.0,0.0
Switched to chat on LINE app on the same day we chatted on Paktor. ,0.0,1.0,0.0,0.0
Voice call on that same day via LINE to chat ,0.0,1.0,0.0,0.0
Speaks English and no trace of Chinese nor Korean accent at all in his speech more like a Caucasian accent ,0.1,0.773,0.127,0.1513
His occupation is a Construction Engineer in the Telecommunications industry ,0.0,1.0,0.0,0.0
"Started addressing me ""Sugar"", ""Honey"", ""Baby"", ""Dear"" Very reluctant to do video call red flag). ",0.141,0.859,0.0,-0.3167
Texted every day without fail almost at the same timing every morning and night ,0.0,0.82,0.18,0.431
One month into the chat said we were together for a month now ,0.0,1.0,0.0,0.0
Days later said he was bidding for a contract and will need to fly out to Germany for 3 weeks to complete the project ,0.0,1.0,0.0,0.0
Got the project in just 2 days competing with 3 other individuals and got it due to his past good works with the client ,0.0,0.879,0.121,0.4404
At this juncture I had discovered that he's using fake profile pics and the pics he sent were all extracted from ig ,0.134,0.866,0.0,-0.4767
The real person behind those pics is a successful good looking Korean man residing in korean ,0.0,0.66,0.34,0.7717
Flew to Germany on 04 not 2020. ,0.0,1.0,0.0,0.0
Followed the timing in Germany to send his texts promptly ,0.0,1.0,0.0,0.0
Stayed in a hotel in Germany and no lockdown in germany ,0.196,0.804,0.0,-0.296
there's no truth in his words ,0.259,0.471,0.271,0.0258
1 week in Germany was I was asked to transfer monies of EURO 1500 to him as his card was blocked and insufficient cash on hand to buy a material in germany ,0.065,0.836,0.099,0.2732
